"$misalignment_angle [deg]","$slide [mm]","Freq [kHz]","$gap [mm]","Matrix1.L(Current1,Current1) [nH]","Matrix1.L(Current2,Current2) [nH]"
-10,-100,150,50,nan,nan
-10,-100,150,100,95.9794018437342,94.8936300076398
-10,-100,150,150,nan,nan
-5,-100,150,50,95.0227215940841,94.714170465244
-5,-100,150,100,95.5005944260008,96.1920390839784
-5,-100,150,150,96.3079099462289,95.4526497935372
0,-100,150,50,95.0132024987079,95.1172697180436
0,-100,150,100,95.6886109934036,96.1232353369482
0,-100,150,150,95.9928860169644,95.5559521420227
5,-100,150,50,95.2211804385324,94.7979154902532
5,-100,150,100,96.0054421388124,95.6589106348357
5,-100,150,150,nan,nan
10,-100,150,50,nan,nan
10,-100,150,100,96.154345431772,95.560105696042
10,-100,150,150,96.3257526921425,95.2733376599636
-10,-50,150,50,94.8543959422605,92.2962797389118
-10,-50,150,100,95.8103019297239,95.3908161841425
-10,-50,150,150,96.2984810495139,95.7158511938779
-5,-50,150,50,94.6506882256332,93.6537251438584
-5,-50,150,100,95.0500168857812,94.9567276424374
-5,-50,150,150,nan,nan
0,-50,150,50,93.9819609606212,93.6828118130899
0,-50,150,100,95.2664390509236,95.3488890268252
0,-50,150,150,96.4998178872087,96.4749185651751
5,-50,150,50,93.0623795336977,94.2499296885699
5,-50,150,100,95.0185589949998,94.6820515726045
5,-50,150,150,96.5721528288271,96.5236641287871
10,-50,150,50,nan,nan
10,-50,150,100,95.8235834250151,95.4632168657943
10,-50,150,150,96.1329628106353,95.4275386853868
-10,0,150,50,94.915993115171,94.0665572402681
-10,0,150,100,95.6565171703173,95.3908344416494
-10,0,150,150,96.3768942559127,95.2976143096565
-5,0,150,50,94.8973943368515,94.9044522332131
-5,0,150,100,95.6847323875584,95.273106034788
-5,0,150,150,96.3072329221151,95.9027189554226
0,0,150,50,94.9608350079613,94.9643553333292
0,0,150,100,95.7974504822951,95.917880192795
0,0,150,150,95.8963336013128,95.5918098643129
5,0,150,50,94.8106538558593,94.5513633089619
5,0,150,100,95.4366422262937,95.868459177569
5,0,150,150,95.8396930933207,96.1793494976882
10,0,150,50,95.2531258726221,93.9673660610283
10,0,150,100,95.9089635214215,95.330407068297
10,0,150,150,95.4510160114994,95.6643588365797
-10,50,150,50,92.5110446227156,92.9098730668742
-10,50,150,100,95.8825129264685,91.6555588646955
-10,50,150,150,96.2268623346435,96.0866080183421
-5,50,150,50,92.8789861580442,93.0765655855855
-5,50,150,100,nan,nan
-5,50,150,150,96.4844074844982,95.8084225865534
0,50,150,50,93.5897596569215,94.0714934629676
0,50,150,100,96.0095144846132,95.3032846242858
0,50,150,150,96.2675029963689,96.4338003611678
5,50,150,50,nan,nan
5,50,150,100,96.0487660210862,95.5149406956181
5,50,150,150,96.4462752513355,96.0235432540983
10,50,150,50,94.9492565202655,93.7485100881733
10,50,150,100,96.0136058225899,95.6841632757665
10,50,150,150,96.5836998418492,95.7039531071658
-10,100,150,50,94.5134040316625,94.7634949449323
-10,100,150,100,95.7370281485613,95.2788233033248
-10,100,150,150,96.2484174914289,95.3799037134651
-5,100,150,50,95.155750710637,95.4021902086816
-5,100,150,100,nan,nan
-5,100,150,150,96.5151691274298,96.2647265578324
0,100,150,50,95.1462515116129,95.5225103647253
0,100,150,100,96.2854277041519,96.3272816650952
0,100,150,150,96.3378481673544,96.3275286706122
5,100,150,50,95.6913869639975,95.0087268469637
5,100,150,100,96.2781894238635,96.1675676626826
5,100,150,150,96.0811317668904,96.192190648078
10,100,150,50,95.5198125055725,94.54050481979
10,100,150,100,nan,nan
10,100,150,150,96.4725169052235,96.1856408285912
