"$misalignment_angle [deg]","$slide [mm]","Freq [kHz]","$gap [mm]","Matrix1.L(Current1,Current2) [nH]"
-10,-100,150,50,nan
-10,-100,150,100,2.18613532578661
-10,-100,150,150,nan
-5,-100,150,50,2.98039992146662
-5,-100,150,100,2.28688348133446
-5,-100,150,150,1.46907378100357
0,-100,150,50,2.90644443876538
0,-100,150,100,2.3954431991981
0,-100,150,150,1.52070386779654
5,-100,150,50,2.90023714378955
5,-100,150,100,2.48730202020984
5,-100,150,150,nan
10,-100,150,50,nan
10,-100,150,100,2.5538485779528
10,-100,150,150,1.66568530274201
-10,-50,150,50,12.1835730733661
-10,-50,150,100,5.12038592768553
-10,-50,150,150,2.46717395982223
-5,-50,150,50,12.8862321962473
-5,-50,150,100,5.22704502474577
-5,-50,150,150,nan
0,-50,150,50,13.3876393299506
0,-50,150,100,5.4693322064506
0,-50,150,150,2.6262944950857
5,-50,150,50,14.0361114977523
5,-50,150,100,5.57913733745012
5,-50,150,150,2.718063042274
10,-50,150,50,nan
10,-50,150,100,5.93085201062259
10,-50,150,150,2.76544154571864
-10,0,150,50,20.9927761954986
-10,0,150,100,7.24874740068899
-10,0,150,150,3.12222880137424
-5,0,150,50,20.8620982268587
-5,0,150,100,7.18823043119474
-5,0,150,150,3.11848806960671
0,0,150,50,20.9061228714758
0,0,150,100,7.17905218255403
0,0,150,150,3.0937066514994
5,0,150,50,20.8329213674918
5,0,150,100,7.21141494524846
5,0,150,150,3.12178899432492
10,0,150,50,21.0037613101052
10,0,150,100,7.25522427919549
10,0,150,150,3.10873362450744
-10,50,150,50,14.5690967225192
-10,50,150,100,5.73253227601448
-10,50,150,150,2.7904457323503
-5,50,150,50,13.9027048713517
-5,50,150,100,nan
-5,50,150,150,2.68485943551883
0,50,150,50,13.3065204844833
0,50,150,100,5.44635884546472
0,50,150,150,2.59948794583859
5,50,150,50,nan
5,50,150,100,5.29581921095826
5,50,150,150,2.52774891147111
10,50,150,50,12.4544613193486
10,50,150,100,5.13372492408326
10,50,150,150,2.4631022716781
-10,100,150,50,2.87347388638493
-10,100,150,100,2.55083819586524
-10,100,150,150,1.67143649170989
-5,100,150,50,2.98377612638575
-5,100,150,100,nan
-5,100,150,150,1.60333797426443
0,100,150,50,2.993257676954
0,100,150,100,2.38535764778255
0,100,150,150,1.53032719623293
5,100,150,50,2.99294106116708
5,100,150,100,2.33118043299969
5,100,150,150,1.4718037433773
10,100,150,50,2.76947855093082
10,100,150,100,nan
10,100,150,150,1.41359419248539
